
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 358020 = 4d3h27min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 57141

size 982 → 1 pattern
size 998 → 1 pattern
size 999 → 1 pattern
size 1003 → 1 pattern
size 1094 → 1 pattern
size 1100 → 1 pattern
size 1127 → 1 pattern
size 1141 → 1 pattern
size 1143 → 1 pattern
size 1160 → 1 pattern
size 1169 → 1 pattern
size 1170 → 1 pattern
size 1176 → 1 pattern
size 1195 → 1 pattern
size 1201 → 1 pattern
size 1207 → 1 pattern
size 1223 → 1 pattern
size 1297 → 1 pattern
size 1328 → 1 pattern
size 1341 → 1 pattern
size 1374 → 1 pattern
size 1395 → 1 pattern
size 1432 → 1 pattern
size 1449 → 1 pattern
size 1456 → 2 pattern
size 1464 → 1 pattern
size 1517 → 1 pattern
size 1586 → 1 pattern
size 1596 → 1 pattern
size 1598 → 1 pattern
size 1670 → 1 pattern
size 1680 → 1 pattern
size 1686 → 1 pattern
size 1755 → 1 pattern
size 1779 → 1 pattern
size 1792 → 1 pattern
size 1824 → 1 pattern
size 1888 → 1 pattern
size 1895 → 1 pattern
size 2099 → 2 pattern
size 2119 → 1 pattern
size 2127 → 1 pattern
size 2235 → 1 pattern
size 2256 → 1 pattern
size 2275 → 1 pattern
size 2311 → 1 pattern
size 2498 → 1 pattern
size 2605 → 1 pattern
size 2626 → 1 pattern
size 2675 → 1 pattern
size 2756 → 1 pattern
size 2814 → 1 pattern
size 2820 → 1 pattern
size 2949 → 1 pattern
size 2963 → 1 pattern
size 3031 → 1 pattern
size 3381 → 1 pattern
size 3459 → 1 pattern
size 3740 → 1 pattern
size 3904 → 1 pattern
size 3952 → 1 pattern
size 4116 → 1 pattern
size 4134 → 1 pattern
size 4358 → 1 pattern
size 4443 → 1 pattern
size 4552 → 1 pattern
size 4715 → 1 pattern
size 5222 → 1 pattern
size 5901 → 1 pattern
size 5977 → 1 pattern
size 6098 → 1 pattern
size 13350 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 24063

size 2 → 19364 pattern
size 3 → 3517 pattern
size 4 → 793 pattern
size 5 → 185 pattern
size 6 → 43 pattern
size 7 → 11 pattern
size 8 → 146 pattern
size 13 → 1 pattern
size 17 → 1 pattern
size 18 → 1 pattern
size 21 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 10250

size 2 → 4071 pattern
size 3 → 558 pattern
size 4 → 642 pattern
size 5 → 190 pattern
size 6 → 160 pattern
size 7 → 136 pattern
size 8 → 111 pattern
size 9 → 98 pattern
size 10 → 98 pattern
size 11 → 93 pattern
size 12 → 65 pattern
size 13 → 67 pattern
size 14 → 58 pattern
size 15 → 48 pattern
size 16 → 48 pattern
size 17 → 43 pattern
size 18 → 51 pattern
size 19 → 30 pattern
size 20 → 42 pattern
size 21 → 49 pattern
size 22 → 29 pattern
size 23 → 34 pattern
