
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 152482687 = 4y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 62132

size 281 → 1 pattern
size 284 → 2 pattern
size 287 → 1 pattern
size 291 → 2 pattern
size 309 → 1 pattern
size 311 → 1 pattern
size 319 → 1 pattern
size 322 → 1 pattern
size 336 → 1 pattern
size 342 → 1 pattern
size 344 → 1 pattern
size 345 → 1 pattern
size 351 → 1 pattern
size 362 → 1 pattern
size 373 → 1 pattern
size 388 → 1 pattern
size 393 → 1 pattern
size 395 → 1 pattern
size 397 → 1 pattern
size 411 → 1 pattern
size 417 → 1 pattern
size 443 → 1 pattern
size 473 → 1 pattern
size 481 → 1 pattern
size 494 → 1 pattern
size 497 → 1 pattern
size 500 → 1 pattern
size 503 → 1 pattern
size 506 → 1 pattern
size 508 → 1 pattern
size 519 → 1 pattern
size 522 → 1 pattern
size 533 → 1 pattern
size 548 → 1 pattern
size 579 → 1 pattern
size 584 → 1 pattern
size 601 → 1 pattern
size 612 → 1 pattern
size 616 → 1 pattern
size 626 → 1 pattern
size 639 → 1 pattern
size 682 → 1 pattern
size 747 → 1 pattern
size 854 → 1 pattern
size 855 → 1 pattern
size 869 → 1 pattern
size 918 → 1 pattern
size 937 → 1 pattern
size 949 → 1 pattern
size 952 → 1 pattern
size 1001 → 1 pattern
size 1020 → 1 pattern
size 1034 → 1 pattern
size 1166 → 1 pattern
size 1212 → 1 pattern
size 1264 → 1 pattern
size 1420 → 1 pattern
size 1433 → 1 pattern
size 1449 → 1 pattern
size 1502 → 1 pattern
size 1505 → 1 pattern
size 1524 → 1 pattern
size 1611 → 1 pattern
size 1628 → 1 pattern
size 1717 → 1 pattern
size 1722 → 1 pattern
size 1780 → 1 pattern
size 1832 → 1 pattern
size 1898 → 1 pattern
size 2030 → 1 pattern
size 2077 → 1 pattern
size 2217 → 1 pattern
size 2344 → 1 pattern
size 2564 → 1 pattern
size 2723 → 1 pattern
size 2735 → 1 pattern
size 2893 → 1 pattern
size 3273 → 1 pattern
size 3623 → 1 pattern
size 3887 → 1 pattern
size 4174 → 1 pattern
size 4229 → 1 pattern
size 6149 → 1 pattern
size 6554 → 1 pattern
size 7219 → 1 pattern
size 7874 → 1 pattern
size 8470 → 1 pattern
size 9464 → 1 pattern
size 15273 → 1 pattern
size 17352 → 1 pattern
size 212595 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 66041

size 2 → 44499 pattern
size 3 → 10203 pattern
size 4 → 5373 pattern
size 5 → 2408 pattern
size 6 → 1246 pattern
size 7 → 873 pattern
size 8 → 574 pattern
size 9 → 222 pattern
size 10 → 140 pattern
size 11 → 185 pattern
size 12 → 82 pattern
size 13 → 96 pattern
size 14 → 28 pattern
size 15 → 22 pattern
size 16 → 19 pattern
size 17 → 12 pattern
size 18 → 10 pattern
size 19 → 6 pattern
size 20 → 11 pattern
size 21 → 5 pattern
size 22 → 5 pattern
size 23 → 5 pattern
size 24 → 5 pattern
size 25 → 1 pattern
size 26 → 1 pattern
size 27 → 1 pattern
size 28 → 2 pattern
size 29 → 1 pattern
size 33 → 1 pattern
size 34 → 1 pattern
size 36 → 1 pattern
size 38 → 1 pattern
size 59 → 1 pattern
size 60 → 1 pattern

