
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 1872 = 31min12s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 52242

size 363 → 1 pattern
size 366 → 1 pattern
size 376 → 2 pattern
size 384 → 2 pattern
size 388 → 1 pattern
size 394 → 1 pattern
size 414 → 1 pattern
size 431 → 1 pattern
size 445 → 1 pattern
size 457 → 1 pattern
size 459 → 1 pattern
size 490 → 1 pattern
size 547 → 1 pattern
size 561 → 1 pattern
size 606 → 1 pattern
size 611 → 2 pattern
size 619 → 1 pattern
size 621 → 2 pattern
size 640 → 1 pattern
size 652 → 1 pattern
size 721 → 1 pattern
Contiguous

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 910

size 2 → 892 pattern
size 3 → 11 pattern
size 4 → 7 pattern
