
=== GRAPH INFO ===
Nodi: 191928
Archi: 717436
Duration (sec): 152483117 = 4y in interval [1610801082, 1763284199]
Delta (sec): 152483117 = 4y10m


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 69581

size 245 → 1 pattern
size 246 → 1 pattern
size 250 → 1 pattern
size 252 → 1 pattern
size 255 → 1 pattern
size 259 → 1 pattern
size 267 → 1 pattern
size 274 → 1 pattern
size 282 → 1 pattern
size 284 → 1 pattern
size 287 → 1 pattern
size 290 → 2 pattern
size 299 → 1 pattern
size 305 → 1 pattern
size 308 → 1 pattern
size 314 → 1 pattern
size 320 → 1 pattern
size 326 → 1 pattern
size 336 → 1 pattern
size 339 → 1 pattern
size 350 → 1 pattern
size 351 → 1 pattern
size 353 → 1 pattern
size 356 → 1 pattern
size 378 → 1 pattern
size 379 → 1 pattern
size 398 → 1 pattern
size 399 → 1 pattern
size 400 → 1 pattern
size 403 → 1 pattern
size 421 → 1 pattern
size 422 → 1 pattern
size 449 → 1 pattern
size 458 → 1 pattern
size 474 → 1 pattern
size 483 → 1 pattern
size 510 → 1 pattern
size 512 → 1 pattern
size 521 → 1 pattern
size 522 → 1 pattern
size 523 → 1 pattern
size 527 → 1 pattern
size 532 → 1 pattern
size 546 → 2 pattern
size 559 → 1 pattern
size 585 → 1 pattern
size 603 → 1 pattern
size 620 → 1 pattern
size 636 → 1 pattern
size 641 → 1 pattern
size 643 → 1 pattern
size 662 → 1 pattern
size 708 → 1 pattern
size 751 → 1 pattern
size 857 → 1 pattern
size 868 → 1 pattern
size 921 → 1 pattern
size 926 → 1 pattern
size 941 → 1 pattern
size 974 → 1 pattern
size 1024 → 1 pattern
size 1040 → 1 pattern
size 1081 → 1 pattern
size 1149 → 1 pattern
size 1169 → 1 pattern
size 1231 → 1 pattern
size 1265 → 1 pattern
size 1426 → 1 pattern
size 1436 → 1 pattern
size 1462 → 1 pattern
size 1510 → 1 pattern
size 1554 → 1 pattern
size 1630 → 1 pattern
size 1631 → 1 pattern
size 1650 → 1 pattern
size 1721 → 1 pattern
size 1735 → 1 pattern
size 1784 → 1 pattern
size 1840 → 1 pattern
size 1923 → 1 pattern
size 2086 → 2 pattern
size 2227 → 1 pattern
size 2403 → 1 pattern
size 2587 → 1 pattern
size 2764 → 1 pattern
size 2801 → 1 pattern
size 2897 → 1 pattern
size 3296 → 1 pattern
size 3631 → 1 pattern
size 3925 → 1 pattern
size 4201 → 1 pattern
size 4240 → 1 pattern
size 6154 → 1 pattern
size 6576 → 1 pattern
size 7306 → 1 pattern
size 7942 → 1 pattern
size 8493 → 1 pattern
size 9468 → 1 pattern
size 15401 → 1 pattern
size 17358 → 1 pattern
size 213434 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 87777

size 2 → 27131 pattern
size 3 → 39321 pattern
size 4 → 10017 pattern
size 5 → 5350 pattern
size 6 → 2402 pattern
size 7 → 1247 pattern
size 8 → 871 pattern
size 9 → 573 pattern
size 10 → 222 pattern
size 11 → 140 pattern
size 12 → 185 pattern
size 13 → 83 pattern
size 14 → 95 pattern
size 15 → 28 pattern
size 16 → 22 pattern
size 17 → 19 pattern
size 18 → 12 pattern
size 19 → 10 pattern
size 20 → 6 pattern
size 21 → 12 pattern
size 22 → 4 pattern
size 23 → 5 pattern
size 24 → 5 pattern
size 25 → 5 pattern
size 26 → 1 pattern
size 27 → 1 pattern
size 28 → 1 pattern
size 29 → 2 pattern
size 30 → 1 pattern
size 34 → 1 pattern
size 35 → 1 pattern
size 37 → 1 pattern
size 39 → 1 pattern
size 60 → 1 pattern
size 61 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 27840

size 2 → 10907 pattern
size 3 → 1350 pattern
size 4 → 902 pattern
size 5 → 295 pattern
size 6 → 238 pattern
size 7 → 189 pattern
size 8 → 162 pattern
size 9 → 133 pattern
size 10 → 138 pattern
size 11 → 124 pattern
size 12 → 94 pattern
size 13 → 96 pattern
size 14 → 84 pattern
size 15 → 74 pattern
size 16 → 67 pattern
size 17 → 68 pattern
size 18 → 73 pattern
size 19 → 48 pattern
size 20 → 62 pattern
size 21 → 60 pattern
size 22 → 44 pattern
size 23 → 44 pattern
size 24 → 32 pattern
size 25 → 41 pattern
size 26 → 42 pattern
size 27 → 32 pattern
size 28 → 42 pattern
size 29 → 29 pattern
size 30 → 39 pattern
size 31 → 40 pattern
size 32 → 35 pattern
size 33 → 32 pattern
size 34 → 30 pattern
size 35 → 40 pattern
size 36 → 31 pattern
size 37 → 23 pattern
size 38 → 30 pattern
size 39 → 29 pattern
size 40 → 21 pattern
size 41 → 28 pattern
