
=== GRAPH INFO ===
Nodi: 46225
Archi: 254531
Duration (sec): 89795761 = 2y in interval [1616822398, 1706618159]
Delta (sec): 89795761 = 2y10m1w2d7h16min1s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 22527

size 113 → 18 pattern
size 114 → 22 pattern
size 115 → 13 pattern
size 116 → 15 pattern
size 117 → 16 pattern
size 118 → 14 pattern
size 119 → 16 pattern
size 120 → 10 pattern
size 121 → 12 pattern
size 122 → 19 pattern
size 123 → 10 pattern
size 124 → 10 pattern
size 125 → 8 pattern
size 126 → 15 pattern
size 127 → 9 pattern
size 128 → 14 pattern
size 129 → 10 pattern
size 130 → 13 pattern
size 131 → 11 pattern
size 132 → 13 pattern
size 133 → 17 pattern
size 134 → 14 pattern
size 135 → 17 pattern
size 136 → 12 pattern
size 137 → 12 pattern
size 138 → 19 pattern
size 139 → 11 pattern
size 140 → 16 pattern
size 141 → 12 pattern
size 142 → 14 pattern
size 143 → 11 pattern
size 144 → 13 pattern
size 145 → 9 pattern
size 146 → 11 pattern
size 147 → 11 pattern
size 148 → 17 pattern
size 149 → 8 pattern
size 150 → 10 pattern
size 151 → 14 pattern
size 152 → 9 pattern
size 153 → 8 pattern
size 154 → 10 pattern
size 155 → 8 pattern
size 156 → 10 pattern
size 157 → 8 pattern
size 158 → 14 pattern
size 159 → 9 pattern
size 160 → 9 pattern
size 161 → 7 pattern
size 162 → 7 pattern
size 163 → 9 pattern
size 164 → 11 pattern
size 165 → 5 pattern
size 166 → 5 pattern
size 167 → 7 pattern
size 168 → 15 pattern
size 169 → 12 pattern
size 170 → 10 pattern
size 171 → 4 pattern
size 172 → 12 pattern
size 173 → 8 pattern
size 174 → 14 pattern
size 175 → 5 pattern
size 176 → 7 pattern
size 177 → 3 pattern
size 178 → 7 pattern
size 179 → 8 pattern
size 180 → 13 pattern
size 181 → 6 pattern
size 182 → 9 pattern
size 183 → 9 pattern
size 184 → 6 pattern
size 185 → 6 pattern
size 186 → 14 pattern
size 187 → 9 pattern
size 188 → 5 pattern
size 189 → 6 pattern
size 190 → 10 pattern
size 191 → 6 pattern
size 192 → 10 pattern
size 193 → 6 pattern
size 194 → 6 pattern
size 195 → 5 pattern
size 196 → 12 pattern
size 197 → 6 pattern
size 198 → 12 pattern
size 199 → 13 pattern
size 200 → 10 pattern
size 201 → 9 pattern
size 202 → 10 pattern
size 203 → 10 pattern
size 204 → 8 pattern
size 205 → 11 pattern
size 206 → 4 pattern
size 207 → 10 pattern
size 208 → 10 pattern
size 209 → 6 pattern
size 210 → 10 pattern
size 211 → 10 pattern
size 212 → 9 pattern
size 213 → 7 pattern
size 214 → 8 pattern
size 215 → 9 pattern
size 216 → 2 pattern
size 217 → 6 pattern
size 218 → 8 pattern
size 219 → 7 pattern
size 220 → 2 pattern
size 221 → 5 pattern
size 222 → 7 pattern
size 223 → 8 pattern
size 224 → 6 pattern
size 225 → 7 pattern
size 226 → 4 pattern
size 227 → 6 pattern
size 228 → 6 pattern
size 229 → 4 pattern
size 230 → 10 pattern
size 231 → 6 pattern
size 232 → 9 pattern
size 233 → 8 pattern
size 234 → 7 pattern
size 235 → 4 pattern
size 236 → 4 pattern
size 237 → 8 pattern
size 238 → 2 pattern
size 239 → 8 pattern
size 240 → 9 pattern
size 241 → 4 pattern
size 242 → 5 pattern
size 243 → 8 pattern
size 244 → 5 pattern
size 245 → 4 pattern
size 246 → 4 pattern
size 247 → 6 pattern
size 248 → 9 pattern
size 249 → 4 pattern
size 250 → 7 pattern
size 251 → 8 pattern
size 252 → 1 pattern
size 253 → 3 pattern
size 254 → 6 pattern
size 255 → 4 pattern
size 256 → 7 pattern
size 257 → 4 pattern
size 258 → 8 pattern
size 259 → 7 pattern
size 260 → 5 pattern
size 261 → 4 pattern
size 262 → 5 pattern
