
=== GRAPH INFO ===
Nodi: 29427
Archi: 259367
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 217385252 = 6y10m3w5d


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 18103

size 445 → 1 pattern
size 446 → 1 pattern
size 447 → 1 pattern
size 451 → 1 pattern
size 454 → 1 pattern
size 455 → 1 pattern
size 462 → 1 pattern
size 466 → 4 pattern
size 467 → 1 pattern
size 470 → 2 pattern
size 474 → 1 pattern
size 475 → 1 pattern
size 479 → 4 pattern
size 482 → 2 pattern
size 484 → 1 pattern
size 485 → 1 pattern
size 486 → 1 pattern
size 487 → 1 pattern
size 489 → 1 pattern
size 491 → 1 pattern
size 495 → 1 pattern
size 496 → 1 pattern
size 497 → 1 pattern
size 498 → 1 pattern
size 501 → 2 pattern
size 503 → 1 pattern
size 504 → 2 pattern
size 505 → 2 pattern
size 506 → 3 pattern
size 508 → 1 pattern
size 510 → 1 pattern
size 511 → 1 pattern
size 515 → 2 pattern
size 516 → 1 pattern
size 519 → 1 pattern
size 520 → 2 pattern
size 521 → 1 pattern
size 523 → 1 pattern
size 525 → 2 pattern
size 528 → 1 pattern
size 529 → 5 pattern
size 530 → 5 pattern
size 531 → 2 pattern
size 532 → 1 pattern
size 534 → 1 pattern
size 535 → 1 pattern
size 536 → 1 pattern
size 538 → 1 pattern
size 539 → 1 pattern
size 541 → 1 pattern
size 543 → 2 pattern
size 545 → 1 pattern
size 546 → 1 pattern
size 547 → 2 pattern
size 548 → 1 pattern
size 549 → 2 pattern
size 556 → 1 pattern
size 557 → 1 pattern
size 561 → 2 pattern
size 562 → 1 pattern
size 567 → 3 pattern
size 568 → 1 pattern
size 570 → 1 pattern
size 571 → 1 pattern
size 572 → 2 pattern
size 574 → 1 pattern
size 576 → 1 pattern
size 577 → 1 pattern
size 582 → 1 pattern
size 594 → 1 pattern
size 600 → 1 pattern
size 601 → 1 pattern
size 604 → 1 pattern
size 605 → 1 pattern
size 606 → 1 pattern
size 610 → 1 pattern
size 616 → 1 pattern
size 619 → 2 pattern
size 623 → 1 pattern
size 625 → 1 pattern
size 627 → 2 pattern
size 630 → 1 pattern
size 633 → 1 pattern
size 636 → 1 pattern
size 639 → 1 pattern
size 640 → 1 pattern
size 649 → 1 pattern
size 650 → 3 pattern
size 652 → 1 pattern
size 655 → 2 pattern
size 666 → 1 pattern
size 673 → 1 pattern
size 674 → 1 pattern
size 692 → 1 pattern
size 693 → 1 pattern
size 709 → 1 pattern
size 727 → 1 pattern
size 731 → 1 pattern
size 736 → 1 pattern
size 751 → 1 pattern
size 848 → 1 pattern
size 4962 → 1 pattern
size 96382 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 28409

size 2 → 21088 pattern
size 3 → 4716 pattern
size 4 → 1564 pattern
size 5 → 484 pattern
size 6 → 245 pattern
size 7 → 109 pattern
size 8 → 134 pattern
size 9 → 18 pattern
size 10 → 24 pattern
size 11 → 4 pattern
size 12 → 7 pattern
size 13 → 4 pattern
size 14 → 3 pattern
size 15 → 1 pattern
size 17 → 2 pattern
size 18 → 2 pattern
size 24 → 1 pattern
size 25 → 1 pattern
size 27 → 1 pattern
size 37 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 17479

size 2 → 7082 pattern
size 3 → 963 pattern
size 4 → 690 pattern
size 5 → 439 pattern
size 6 → 376 pattern
size 7 → 256 pattern
size 8 → 252 pattern
size 9 → 191 pattern
size 10 → 180 pattern
size 11 → 160 pattern
size 12 → 135 pattern
size 13 → 138 pattern
size 14 → 140 pattern
size 15 → 107 pattern
size 16 → 119 pattern
size 17 → 108 pattern
size 18 → 90 pattern
size 19 → 91 pattern
size 20 → 92 pattern
size 21 → 85 pattern
size 22 → 91 pattern
size 23 → 94 pattern
size 24 → 61 pattern
size 25 → 66 pattern
size 26 → 59 pattern
size 27 → 45 pattern
size 28 → 58 pattern
size 29 → 52 pattern
size 30 → 46 pattern
size 31 → 45 pattern
size 32 → 52 pattern
size 33 → 62 pattern
size 34 → 39 pattern
size 35 → 45 pattern
size 36 → 51 pattern
size 37 → 34 pattern
size 38 → 48 pattern
size 39 → 36 pattern
size 40 → 40 pattern
size 41 → 35 pattern
size 42 → 29 pattern
size 43 → 35 pattern
size 44 → 32 pattern
size 45 → 33 pattern
size 46 → 32 pattern
size 47 → 27 pattern
size 48 → 30 pattern
size 49 → 28 pattern
size 50 → 36 pattern
size 51 → 30 pattern
size 52 → 20 pattern
size 53 → 37 pattern
size 54 → 29 pattern
size 55 → 28 pattern
size 56 → 23 pattern
